id	verdict	emitted	available	entity
CR_HEREDIA_PATENTES	OK	5000	5000	
CR_HEREDIA_ANTENAS	OK	145	145	
CR_HEREDIA_POZOS	OK	98	98	
GY_PETROLEUM_WELLS	OK	106	106	
GY_PETROLEUM_PROCUREMENT	OK	4	4	
SR_GOV_AANBESTEDINGEN	OK	670	670	
SR_GOV_BEKENDMAKING	OK	1000	1000	
SR_ABS_PUBLICATIONS	OK	999	999	
BB_PARISH_BOUNDARIES	OK	11	11	
JM_DKAN_NODES	OK	32	32	
DO_HACIENDA_ESTADISTICAS	OK	21	21	
DO_HACIENDA_MARCO_LEGAL	PARTIAL	115	116	
BM_BDA_COMPANIES	PARTIAL	106	107	
KY_JUDICIAL_DOCUMENTS	OK	558	558	
VC_STATISTICS_RELEASES	OK	555	555	
LC_STATISTICS_RELEASES	OK	229	229	
GD_STATISTICS_RELEASES	OK	227	227	
DM_STATISTICS_RELEASES	OK	154	154	
CW_LANDSCOURANT	PARTIAL	43	44	
CW_VACATURES	PARTIAL	405	407	
GP_ENTREPRISES_ANNUAIRE	OK	250	250	
PE_SERNANP_ANP	OK	104	104	
PE_SERNANP_ZONIFICACION	OK	5547	5547	
EC_GOBEC_TRAMITES	OK	500	500	
EC_GOBEC_REGULACIONES	OK	2500	2500	
CO_ANH_TIERRAS_CONTRATOS	OK	480	480	
CO_ANH_CUENCAS	OK	24	24	
PY_VUE_REGISTRO_EMPRESAS	PARTIAL	999	1000	
PY_VUE_MIPYMES	PARTIAL	998	1000	
PY_AIP_SOLICITUDES	PARTIAL	598	600	salud
PY_CGR_ONG_RENDICION	OK	4146	4146	
PY_CGR_FONACIDE	OK	3098	3098	
BO_INE_PUBLICACIONES	OK	12	12	
NI_TELCOR_PUBLICACIONES	PARTIAL	192	193	
NI_MARENA_PUBLICACIONES	PARTIAL	282	284	
HT_BRH_PUBLICATIONS	PARTIAL	798	800	
CL_SEIA_PROYECTOS	TRANSPORT_FAIL	0	0	
CL_SUBTEL_DOCUMENTOS	PARTIAL	990	991	
CL_SERVEL_DOCUMENTOS	PARTIAL	999	1000	
UY_MONTEVIDEO_GEONETWORK	OK	402	402	
ECMA_PUBLISHED_STANDARDS	OK	295	295	
PORTWATCH_PORTS_DB	OK	1	1	jeddah
PORTWATCH_CHOKEPOINTS_DB	TRANSPORT_FAIL	0	0	
PORTWATCH_DAILY_CHOKEPOINTS	TRANSPORT_FAIL	0	0	Suez
PORTWATCH_DAILY_PORTS	EMPTY_UPSTREAM	0	0	Jebel%20Ali
