id	url	observed_kind	run_rc	records	reason
co-icfes-saber-pro	https://www.datos.gov.co/resource/u37r-hjmu.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-icfes-saber-tyt	https://www.datos.gov.co/resource/iwgf-bkfk.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-almacenamiento-medicamentos	https://www.datos.gov.co/resource/2btt-9z2g.json?$limit=50	json-array	-1	0	collector errored
co-invima-bpm-nacionales	https://www.datos.gov.co/resource/xbpm-2jee.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-bpm-internacionales	https://www.datos.gov.co/resource/9nwa-4tvt.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-acondicionadores	https://www.datos.gov.co/resource/4zxr-bqvt.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-bpe	https://www.datos.gov.co/resource/x6yb-a8cg.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-bpl-nacionales	https://www.datos.gov.co/resource/5686-m6za.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-bpl-internacionales	https://www.datos.gov.co/resource/qg9f-quwy.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-control-especial	https://www.datos.gov.co/resource/gc4x-u4iy.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-ips-bpc	https://www.datos.gov.co/resource/hf6p-apcd.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-cosmeticos	https://www.datos.gov.co/resource/d397-yqtv.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-importadores-carne	https://www.datos.gov.co/resource/xe4t-6bdb.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-precios-medicamentos	https://www.datos.gov.co/resource/3he6-m866.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-medicamentos-vitales-no-disponibles	https://www.datos.gov.co/resource/sdmr-tfmf.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-invima-rs-nso-vigentes	https://www.datos.gov.co/resource/ui32-p9f2.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-sfc-quejas-vigiladas	https://www.datos.gov.co/resource/hjqv-fp48.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-sfc-quejas-consumidores	https://www.datos.gov.co/resource/y8u7-q37x.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-sfc-directivos-vigiladas	https://www.datos.gov.co/resource/h44k-fvv7.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-sfc-balance-entidades-publicas	https://www.datos.gov.co/resource/mxk5-ce6w.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
co-sector-solidario-entidades	https://www.datos.gov.co/resource/kg2d-yfyg.json?$limit=50	json-array	0	0	fetched and parsed, but the generic parser produced no intel row
