id	url	observed_kind	run_rc	records	reason
us-fdic-institutions	https://api.fdic.gov/banks/institutions?filters=STNAME:%22California%22&fields=NAME,CITY,STNAME,CERT,ACTIVE,ASSET&limit=3&format=json	json:data	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-fdic-financials	https://api.fdic.gov/banks/financials?filters=CERT:3511&fields=CERT,REPDTE,ASSET,DEP,NETINC&limit=3&format=json	json:data	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-fdic-locations	https://api.fdic.gov/banks/locations?filters=CERT:3511&limit=3&format=json	json:data	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-fdic-history	https://api.fdic.gov/banks/history?filters=CERT:3511&limit=3&format=json	json:data	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-fdic-failures	https://api.fdic.gov/banks/failures?limit=3&format=json	json:data	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-fdic-sod	https://api.fdic.gov/banks/sod?filters=CERT:3511&limit=3&format=json	json:data	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-fdic-demographics	https://api.fdic.gov/banks/demographics?limit=2&format=json	json:data	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-fdic-summary	https://api.fdic.gov/banks/summary?filters=STNAME:%22Ohio%22&limit=3&format=json	json:data	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-finra-brokercheck-individual-search	https://api.brokercheck.finra.org/search/individual?query=smith&hl=true&nrows=3&start=0&r=25&wt=json	json:hits.hits	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-finra-brokercheck-individual-detail	https://api.brokercheck.finra.org/search/individual/810315?hl=true&wt=json&query=810315	json:hits.hits	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-finra-brokercheck-firm-detail	https://api.brokercheck.finra.org/search/firm/7691?hl=true&wt=json&query=7691	json:hits.hits	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-usaspending-award-detail	https://api.usaspending.gov/api/v2/awards/CONT_AWD_N0001919C0001_9700_-NONE-_-NONE-/	json:recipient.business_categories	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-usaspending-subaward-count	https://api.usaspending.gov/api/v2/awards/count/subaward/CONT_AWD_72027821C00002_7200_-NONE-_-NONE-/	json-object	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-usaspending-recipient-detail	https://api.usaspending.gov/api/v2/recipient/7fe0d08f-685f-a9cc-f9f6-f9e6c6c20e22-R/	json:alternate_names	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-usaspending-references-agency	https://api.usaspending.gov/api/v2/references/agency/1173/	json-object	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-usaspending-references-naics	https://api.usaspending.gov/api/v2/references/naics/?filter=54	json:results	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-usaspending-reporting-agency-differences	https://api.usaspending.gov/api/v2/reporting/agencies/012/differences/?fiscal_year=2024&fiscal_period=9&limit=3	json:results	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-usaspending-last-updated	https://api.usaspending.gov/api/v2/awards/last_updated/	json-object	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-fed-datadownload-csv	https://www.federalreserve.gov/datadownload/Output.aspx?rel=H15&series=bf17364827e38702b42a58cf8eaa3f78&lastobs=5&from=&to=&filetype=csv&label=include&layout=seriescolumn	csv	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-nyfed-soma-summary	https://markets.newyorkfed.org/api/soma/summary.json	json:soma.summary	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-nyfed-primary-dealer	https://markets.newyorkfed.org/api/pd/latest/SBN2022.json	json:pd.timeseries	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-nyfed-reference-rates	https://markets.newyorkfed.org/api/rates/secured/sofr/last/5.json	json:refRates	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-cfpb-hmda-aggregations	https://ffiec.cfpb.gov/v2/data-browser-api/view/aggregations?years=2023&states=CA&actions_taken=1	json:aggregations	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-echo-facility-search	https://echodata.epa.gov/echo/echo_rest_services.get_facilities?output=JSON&p_fn=exxon&responseset=5	json-object	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-echo-facility-info-map	https://echodata.epa.gov/echo/echo_rest_services.get_facility_info?output=JSON&p_fn=exxon&responseset=5&p_st=RI	json:Results.QueryParameters	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-echo-air-facilities	https://echodata.epa.gov/echo/air_rest_services.get_facilities?output=JSON&p_fn=exxon&responseset=5	json-object	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-echo-cwa-facilities	https://echodata.epa.gov/echo/cwa_rest_services.get_facilities?output=JSON&p_fn=exxon&responseset=5	json-object	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-echo-rcra-facilities	https://echodata.epa.gov/echo/rcra_rest_services.get_facilities?output=JSON&p_fn=exxon&responseset=5	json-object	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-echo-sdwa-systems	https://echodata.epa.gov/echo/sdw_rest_services.get_systems?output=JSON&p_st=RI&responseset=5	json-object	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-echo-enforcement-cases	https://echodata.epa.gov/echo/case_rest_services.get_cases?output=JSON&p_law=EPCRA	json-object	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-echo-effluent-chart	https://echodata.epa.gov/echo/eff_rest_services.get_effluent_chart?output=JSON&p_id=TX0119407	json:Results.PermFeatures	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-echo-effluent-summary	https://echodata.epa.gov/echo/eff_rest_services.get_summary_chart?output=JSON&p_id=TX0119407	json:Results.PermFeatures	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-envirofacts-tri-release-qty	https://data.epa.gov/efservice/tri_release_qty/rows/0:1/JSON	json-array	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-envirofacts-tri-transfer-qty	https://data.epa.gov/efservice/tri_transfer_qty/rows/0:1/JSON	json-array	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-envirofacts-frs-naics	https://data.epa.gov/efservice/frs_naics/rows/0:1/JSON	json-array	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-envirofacts-frs-sic	https://data.epa.gov/efservice/frs_sic/rows/0:0/JSON	json-array	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
us-epa-envirofacts-frs-interest	https://data.epa.gov/efservice/frs_interest/rows/0:1/JSON	json-array	0	0	fetched and parsed, but the generic parser produced no intel row (usually: the auto-detected array path points at metadata, or the records carry neither a label nor an id)
