id	verdict	shell_rc	sched_rc	emitted	stored	db_rows	available	secs	note
us-socrata-metadata-oregon	OK	0	0	1504	1504	1504	-1	18.6	
us-socrata-metadata-seattle	OK	0	0	702	702	702	-1	9.2	
us-socrata-metadata-nyc	OK	0	0	3017	3017	3017	-1	39.4	
us-socrata-metadata-texas	OK	0	0	1473	1473	1473	-1	15.6	
us-socrata-metadata-sfgov	OK	0	0	1224	1224	1224	-1	25.0	
us-socrata-search-broadband-access	COLLISION	0	0	557	556	556	-1	6.3	1 of 557 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
us-socrata-metadata-maryland	OK	0	0	5181	5181	5181	-1	71.2	
us-data-boston-gov-datasets	OK	0	0	235	235	235	-1	3.4	
us-data-boston-gov-groups	OK	0	0	16	16	16	-1	2.1	
us-socrata-search-building-permits	OK	0	0	1058	1058	1058	-1	9.2	
us-data-boston-gov-org-assessing-department-org	OK	0	0	2	2	2	-1	1.9	
us-data-boston-gov-org-archives-and-record-management-org	OK	0	0	5	5	5	-1	2.0	
us-data-boston-gov-activity	OK	0	0	2000	2001	2001	-1	9.2	
us-data-boston-gov-org-boston-311-org	OK	0	0	2	2	2	-1	1.6	
us-data-boston-gov-org-boston-fire-department-org	OK	0	0	1	1	1	-1	1.6	
us-data-boston-gov-org-boston-licensing-board	OK	0	0	4	4	4	-1	1.6	
us-socrata-metadata-washington	OK	0	0	2307	2307	2307	-1	25.8	
us-data-boston-gov-org-boston-planning-development-agency-org	OK	0	0	14	14	14	-1	1.7	
us-data-boston-gov-org-boston-police-department-org	OK	0	0	9	9	9	-1	1.8	
us-data-boston-gov-org-boston-maps	OK	0	0	123	123	123	-1	2.8	
us-data-boston-gov-org-boston-public-library-org	OK	0	0	1	1	1	-1	1.6	
us-data-boston-gov-org-boston-public-schools	OK	0	0	1	1	1	-1	1.6	
us-data-boston-gov-org-boston-transportation-department-org	OK	0	0	7	7	7	-1	1.7	
us-data-boston-gov-org-boston-water-and-sewer-commission-org	OK	0	0	1	1	1	-1	1.7	
us-data-boston-gov-org-city-clerk	OK	0	0	2	2	2	-1	1.7	
us-data-boston-gov-org-city-of-boston-archaeology-program-org	OK	0	0	1	1	1	-1	1.7	
us-data-boston-gov-org-consumer-affairs-and-licensing-departmen	OK	0	0	4	4	4	-1	1.7	
us-data-boston-gov-org-data-cityofboston-gov	OK	0	0	2	2	2	-1	1.7	
us-data-boston-gov-org-department-of-innovation-and-technology-	OK	0	0	8	8	8	-1	1.8	
us-data-boston-gov-org-doit-data-analytics-org	OK	0	0	5	5	5	-1	2.1	
us-data-boston-gov-org-equity-inclusion	OK	0	0	1	1	1	-1	1.6	
us-data-boston-gov-org-environment-department-org	OK	0	0	6	6	6	-1	2.0	
