# Breach corpus seed (HIBP-style catalog snapshot). Columns: name<TAB>records<TAB>added<TAB>breach_date
# Records kept as-given (k/M/B suffixes); parser normalizes to integers. Lines starting with # are ignored.
# Authoritative refresh: scripts/fetch-breach-corpus.mjs pulls the full ~1,018 list from HIBP /api/v3/breaches.
name	records	added	breach_date
Robinsons Malls	195.6k	2025-06-25	2024-06
Have Fun Teaching	27.1k	2025-06-25	2021-08
Ualabee	472.3k	2025-06-13	2025-05
WiredBucks	918.5k	2025-06-10	2022-05
Disk Union	690.7k	2025-06-07	2022-06
ColoCrossing	7.2k	2025-06-03	2025-05
Free	13.9M	2025-05-27	2024-10
Operation Endgame 2.0	15.4M	2025-05-23	2025-05
Fédération Francaise de Rugby	282k	2025-05-22	2023-07
OnRPG	1M	2025-05-08	2016-07
TehetségKapu	54.4k	2025-05-01	2025-03
Samsung Germany Customer Tickets	216.3k	2025-04-13	2025-03
Qraved	984.5k	2025-04-09	2021-07
Boulanger	2.1M	2025-04-08	2024-09
German Doner Kebab	162.4k	2025-03-30	2025-03
Troy Hunt's Mailchimp List	16.6k	2025-03-25	2025-03
SpyX	2M	2025-03-19	2024-06
Lexipol	672.5k	2025-03-19	2025-02
Color Dating	220.5k	2025-03-03	2018-09
Flat Earth Sun, Moon and Zodiac App	33.3k	2025-03-02	2024-10
Spyzie	518.6k	2025-02-27	2024-02
Orange Romania	556.6k	2025-02-27	2025-02
ALIEN TXTBASE Stealer Logs	284.1M	2025-02-25	2025-02
Spyic	876k	2025-02-20	2025-02
Cocospy	1.8M	2025-02-20	2025-02
Storenvy	11.1M	2025-02-16	2019-04
Doxbin (TOoDA)	136.5k	2025-02-13	2024-02
Zacks (2024)	12M	2025-02-12	2024-06
LandAirSea	337.4k	2025-02-11	2025-01
Adopt Me Trading Values	86.1k	2025-02-10	2022-07
Youthmanual	937.9k	2025-02-09	2019-01
Thermomix Recipe World Forum	3.1M	2025-02-06	2025-01
Hakko Corporation	9.7k	2025-02-06	2019-03
PoinCampus	89.1k	2025-02-04	2024-11
1win	96.2M	2025-02-03	2024-11
DragonNest	511.3k	2025-02-03	2013-08
9Lives	109.5k	2025-02-02	2014-10
Speedio	27.5M	2025-01-30	2024-12
HeatGames	647.9k	2025-01-28	2021-06
Doxbin Scrape	435.8k	2025-01-28	2025-01
Frame & Optic	15.7k	2025-01-22	2025-01
Welhof	107.3k	2025-01-22	2023-12
Otelier	436.9k	2025-01-18	2024-07
MSI	250k	2025-01-17	2024-07
Le Coq Sportif Columbia	79.7k	2025-01-16	2023-05
Stealer Logs, Jan 2025	71M	2025-01-13	2025-01
Scholastic	4.2M	2025-01-13	2025-01
SuperDraft	300.2k	2025-01-12	2024-10
GLAMIRA	874.6k	2025-01-03	2023-12
French Citizens	28.4M	2024-12-20	2024-09
Young Living Essential Oils	1.1M	2024-12-19	2024-12
schenkYOU	237.3k	2024-12-19	2024-08
BitView	63.1k	2024-12-19	2024-12
Hopamedia	23.8M	2024-12-16	2020-08
MC2 Data	2.1M	2024-12-15	2024-08
Yonéma	36k	2024-12-14	2024-11
Tibber	50k	2024-12-14	2024-11
Senior Dating	765.5k	2024-12-09	2024-11
Ladies.com	118.8k	2024-12-09	2024-07
The Real World	324.4k	2024-11-22	2024-11
FlipaClip	892.9k	2024-11-20	2024-11
Finsure	296.1k	2024-11-19	2024-10
DemandScience by Pure Incubation	121.8M	2024-11-13	2024-02
Hot Topic	56.9M	2024-11-11	2024-10
Earth 2	421k	2024-11-07	2024-10
Dennis Kirk	1.4M	2024-11-05	2021-09
Altenen	1.3M	2024-11-05	2022-06
Z-lib	9.7M	2024-11-04	2024-06
Stalker Online	1.4M	2024-10-31	2020-05
TNAFlix	1.4M	2024-10-30	2022-06
