# Breach corpus seed (HIBP-style catalog snapshot). Columns: name<TAB>records<TAB>added<TAB>breach_date
# Records kept as-given (k/M/B suffixes); parser normalizes to integers. Lines starting with # are ignored.
# Authoritative refresh: scripts/fetch-breach-corpus.mjs pulls the full ~1,018 list from HIBP /api/v3/breaches.
name	records	added	breach_date
Home Chef	8.8M	2020-11-13	2020-02
Animal Jam	7.1M	2020-11-12	2020-10
Mashable	1.4M	2020-11-10	2020-06
Lazada RedMart	1.1M	2020-11-10	2020-07
James	1.5M	2020-11-05	2020-03
Wongnai	3.9M	2020-11-04	2020-10
Minted	4.4M	2020-11-03	2020-05
Promofarma	1.3M	2020-11-01	2019-08
StarTribune	2.2M	2020-10-30	2019-10
Reincubate	616.1k	2020-10-29	2017-05
Chowbus	444.2k	2020-10-06	2020-10
WiziShop	2.9M	2020-10-05	2020-07
Experian (South Africa)	1.3M	2020-09-01	2020-08
LiveAuctioneers	3.4M	2020-08-22	2020-06
Unico Campania	166k	2020-08-19	2020-08
Utah Gun Exchange	235.2k	2020-08-19	2020-07
Catho	1.2M	2020-08-18	2020-03
Sonicbids	751.7k	2020-08-18	2019-12
Zoosk (2020)	23.9M	2020-08-07	2020-01
ProctorU	444.5k	2020-08-06	2020-06
Kreditplus	768.9k	2020-08-03	2020-06
TrueFire	599.7k	2020-08-02	2020-02
집꾸미기	1.3M	2020-08-02	2020-03
Vakinha	4.8M	2020-08-01	2020-06
Havenly	1.4M	2020-08-01	2020-06
Swvl	4.2M	2020-07-31	2020-06
Appen	5.9M	2020-07-30	2020-06
Scentbird	5.8M	2020-07-30	2020-06
Chatbooks	2.5M	2020-07-29	2020-03
Dunzo	3.5M	2020-07-29	2020-06
Drizly	2.5M	2020-07-28	2020-07
Hurb	20.7M	2020-07-27	2019-03
Dave	3M	2020-07-27	2020-06
Promo	14.6M	2020-07-26	2020-06
Wattpad	268.8M	2020-07-19	2020-06
Quidd	3.8M	2020-06-24	2019-07
Foodora	582.6k	2020-06-16	2016-04
Mathway	25.7M	2020-06-05	2020-01
Zoomcar	3.6M	2020-06-05	2018-07
Lead Hunter	68.7M	2020-06-03	2020-03
Wishbone (2020)	9.7M	2020-05-28	2020-01
LiveJournal	26.4M	2020-05-26	2017-01
PetFlow	990.9k	2020-05-26	2017-12
Artsy	1.1M	2020-05-25	2018-04
Lifebear	3.7M	2020-05-25	2019-02
Nulled.ch	43.5k	2020-05-24	2020-05
Covve	22.8M	2020-05-15	2020-02
Ulmon	777.8k	2020-05-08	2020-01
Elanic	2.3M	2020-05-04	2018-01
TaiLieu	7.3M	2020-05-03	2019-11
Tokopedia	71.4M	2020-05-02	2020-04
Vianet	94.4k	2020-04-22	2020-04
Aptoide	20M	2020-04-19	2020-04
HTC Mania	1.5M	2020-04-06	2020-01
OGUsers (2020 breach)	263.2k	2020-04-04	2020-04
Dueling Network	6.5M	2020-03-30	2017-03
Tamodo	494.9k	2020-03-24	2020-02
PropTiger	2.2M	2020-03-24	2018-01
The Halloween Spot	10.7k	2020-03-16	2019-09
AnimeGame	1.4M	2020-03-09	2020-02
Straffic	48.6M	2020-02-27	2020-02
Slickwraps	857.6k	2020-02-22	2020-02
MGM Resorts	3.1M	2020-02-20	2019-07
Adult FriendFinder (2016)	169.7M	2020-02-06	2016-10
DailyObjects	464.3k	2020-01-28	2018-01
Tout	652.7k	2020-01-25	2014-09
europa.jobs	226.1k	2020-01-15	2019-08
Planet Calypso	62.3k	2020-01-12	2019-07
BtoBet	444.2k	2020-01-11	2019-12
Go Games	3.4M	2020-01-11	2015-10
Indian Railways	583.4k	2020-01-10	2019-10
Universarium	565k	2020-01-03	2019-11
Factual	2.5M	2019-12-24	2017-03
Zynga	172.9M	2019-12-19	2019-09
AgusiQ-Torrents.pl	90.5k	2019-12-04	2019-09
Data Enrichment Exposure From PDL Customer	622.2M	2019-11-22	2019-10
GateHub	1.4M	2019-11-20	2019-06
EpicBot	816.7k	2019-11-19	2019-09
GPS Underground	669.6k	2019-11-19	2016-07
ToonDoo	6M	2019-11-11	2019-08
Vedantu	686.9k	2019-11-01	2019-07
Hookers.nl	291k	2019-10-23	2019-10
Zooville	71.4k	2019-10-19	2019-09
StreetEasy	988.2k	2019-10-06	2016-06
Sephora	780.1k	2019-10-06	2017-01
Wanelo	23.2M	2019-09-30	2018-12
Lumin PDF	15.5M	2019-09-18	2019-04
KiwiFarms	4.6k	2019-09-17	2019-09
Minehut	396.5k	2019-09-17	2019-05
Void.to	95.4k	2019-09-11	2019-06
Poshmark	36.4M	2019-09-02	2018-05
Mastercard Priceless Specials	89.4k	2019-09-01	2019-08
XKCD	562k	2019-09-01	2019-07
Coinmama	478.8k	2019-08-30	2017-08
Chegg	39.7M	2019-08-16	2018-04
Cracked.to	749.2k	2019-08-12	2019-07
StockX	6.8M	2019-08-10	2019-07
Canva	137.3M	2019-08-09	2019-05
CafePress	23.2M	2019-08-05	2019-02
Club Penguin Rewritten (July 2019)	4M	2019-07-30	2019-07
Anime-Planet	368.5k	2019-07-28	2016-01
EpicNPC	408.8k	2019-07-27	2016-01
Clash of Kings	1.6M	2019-07-27	2016-07
Snail	1.4M	2019-07-27	2015-03
Xiaomi	7.1M	2019-07-21	2012-08
Flash Flash Revolution (2019 breach)	1.9M	2019-07-21	2019-07
Stronghold Kingdoms	5.2M	2019-07-21	2018-07
GameSalad	1.5M	2019-07-21	2019-02
Armor Games	10.6M	2019-07-20	2019-01
Roll20	4M	2019-07-19	2018-12
Artvalue	157.7k	2019-07-19	2019-06
EatStreet	6.4M	2019-07-19	2019-05
Bulgarian National Revenue Agency	471.2k	2019-07-18	2019-07
YouNow	18.2M	2019-07-18	2019-02
Animoto	22.4M	2019-07-18	2018-07
BlackSpigotMC	140k	2019-07-17	2019-07
SHEIN	39.1M	2019-07-17	2018-06
piZap	41.8M	2019-07-16	2017-12
Netlog	49M	2019-07-15	2012-11
Evite	101M	2019-07-14	2013-08
Mindjolt	28.4M	2019-07-13	2019-03
Zhenai.com	5M	2019-07-11	2011-12
Wiener Büchereien	224.1k	2019-06-28	2019-06
Social Engineered	89.4k	2019-06-23	2019-06
D3Scene	568.8k	2019-06-15	2016-01
Emuparadise	1.1M	2019-06-09	2018-04
Ordine Avvocati di Roma	42k	2019-05-26	2019-05
OGUsers (2019 breach)	161.1k	2019-05-19	2018-12
Appartoo	49.7k	2019-05-02	2017-03
Club Penguin Rewritten (January 2018)	1.7M	2019-04-23	2018-01
Morele.net	2.5M	2019-04-20	2018-10
Bukalapak	13.4M	2019-04-18	2017-10
DataCamp	760.6k	2019-04-09	2017-01
Knuddels	808.3k	2019-04-08	2018-09
Demon Forums	52.6k	2019-04-04	2019-02
Everybody Edits	871.2k	2019-04-03	2019-03
Intelimost	3.1M	2019-04-02	2019-03
Whitepages	11.7M	2019-03-27	2016-06
500px	14.9M	2019-03-25	2018-07
Bookmate	3.8M	2019-03-22	2018-07
HauteLook	28.5M	2019-03-21	2018-08
8fit	15M	2019-03-21	2018-07
ixigo	17.2M	2019-03-17	2019-01
Houzz	48.9M	2019-03-12	2018-05
Verifications.io	763.1M	2019-03-09	2019-02
ShareThis	41M	2019-03-03	2018-07
Dubsmash	161.7M	2019-02-25	2018-12
MyFitnessPal	143.6M	2019-02-21	2018-02
MyHeritage	92M	2019-02-20	2017-10
EyeEm	19.6M	2019-02-16	2018-02
devkitPro	1.5k	2019-02-11	2019-02
Collection #1	772.9M	2019-01-16	2019-01
FaceUP	87.6k	2019-01-13	2013-01
Dangdang	4.8M	2019-01-10	2011-06
BannerBit	213.4k	2019-01-08	2018-12
BlankMediaGames	7.6M	2019-01-02	2018-12
GoldSilver	242.7k	2018-12-27	2018-10
Mappery	205.2k	2018-12-18	2018-12
Bombuj.eu	575.4k	2018-12-10	2018-12
Hub4Tech	36.9k	2018-12-09	2017-01
You've Been Scraped	66.1M	2018-12-06	2018-10
AerServ	66.3k	2018-12-06	2018-04
ForumCommunity	776.6k	2018-12-05	2016-06
Technic	265.4k	2018-12-04	2018-11
Data & Leads	44.3M	2018-11-28	2018-11
Adapt	9.4M	2018-11-22	2018-11
HTH Studios	411.8k	2018-11-20	2018-08
Elasticsearch Instance of Sales Leads on AWS	5.8M	2018-11-17	2018-10
KnownCircle	2M	2018-11-17	2016-04
Rbx.Rocks	150k	2018-11-07	2018-08
Società Italiana degli Autori ed Editori	14.6k	2018-11-07	2018-11
WPSandbox	858	2018-11-06	2018-11
JoomlArt	22.5k	2018-11-01	2018-01
Mac Forums	326.7k	2018-10-29	2016-07
Baby Names	846.7k	2018-10-24	2008-10
Wife Lovers	1.3M	2018-10-20	2018-10
Facepunch	342.9k	2018-10-17	2016-06
Apollo	125.9M	2018-10-05	2018-07
Digimon	7.7M	2018-09-28	2016-09
SaverSpy	2.5M	2018-09-25	2018-09
Real Estate Mogul	307.8k	2018-09-24	2016-09
NemoWeb	3.5M	2018-09-19	2016-09
Kayo.moe Credential Stuffing List	41.8M	2018-09-13	2018-09
Russian America	182.7k	2018-09-13	2017-01
FreshMenu	110.4k	2018-09-10	2016-07
NapsGear	287.1k	2018-09-10	2015-10
Warmane	1.1M	2018-09-08	2016-12
Mortal Online	606.6k	2018-08-31	2018-06
SvenskaMagic	30.3k	2018-08-30	2015-07
Atlas Quantum	261.5k	2018-08-27	2018-08
SpyFone	44.1k	2018-08-24	2018-08
MyFHA	972.6k	2018-08-09	2015-02
Lanwar	45.1k	2018-08-08	2018-07
Adult-FanFiction.Org	186.1k	2018-08-06	2018-05
Fashion Nexus	1.3M	2018-07-31	2018-07
League of Legends	339.5k	2018-07-28	2012-06
Exactis	131.6M	2018-07-25	2018-06
Funny Games	764.4k	2018-07-24	2018-04
Pemiblanc	111M	2018-07-09	2018-04
Yatra	5M	2018-07-04	2013-09
Light's Hope	30.5k	2018-07-04	2018-06
Gaadi	4.3M	2018-07-01	2015-05
Trik Spam Botnet	43.4M	2018-06-14	2018-06
Estonian Citizens (via Estonian Cybercrime Bureau)	655.2k	2018-06-11	2018-06
Creative	483k	2018-06-07	2018-05
Linux Forums	275.8k	2018-06-07	2018-05
Ticketfly	26.2M	2018-06-03	2018-05
ViewFines	777.6k	2018-05-24	2018-05
VNG	24.9M	2018-04-28	2015-05
17173	7.5M	2018-04-28	2011-12
TGBUS	10.4M	2018-04-28	2017-09
ILikeCheats	188.8k	2018-04-22	2014-10
CashCrate	6.8M	2018-04-20	2016-11
Taringa	28M	2018-04-19	2017-08
Smogon	386.5k	2018-04-11	2017-09
HiAPK	13.9M	2018-04-01	2014-01
Bestialitysextaboo	3.2k	2018-03-29	2018-03
MDPI	845k	2018-03-25	2016-08
Florida Virtual School	542.9k	2018-03-18	2018-02
MangaFox.me	1.3M	2018-03-17	2016-06
xHamster	377.4k	2018-03-08	2016-11
2,844 Separate Data Breaches	80.1M	2018-02-26	2018-02
Underworld Empire	428.8k	2018-02-19	2017-04
8tracks	18M	2018-02-16	2017-06
Guns and Robots	143.6k	2018-02-14	2016-04
Autocentrum.pl	143.7k	2018-02-09	2018-02
TheTVDB.com	181.9k	2018-01-29	2017-11
The Fly on the Wall	84k	2018-01-15	2017-12
Lyrics Mania	109.2k	2018-01-15	2017-12
Open CS:GO	512.3k	2018-01-15	2017-11
2fast4u	17.7k	2018-01-07	2017-12
HoundDawgs	45.7k	2018-01-03	2017-12
Ancestry	297.8k	2017-12-24	2015-11
CrackingForum	660.3k	2017-12-10	2016-07
dvd-shop.ch	68k	2017-12-10	2017-12
Netshoes	499.8k	2017-12-10	2017-12
ai.type	20.6M	2017-12-08	2017-12
imgur	1.7M	2017-11-25	2013-09
Bolt	995.3k	2017-11-24	2017-03
V-Tight Gel	2M	2017-11-17	2016-02
PoliceOne	709.9k	2017-11-15	2014-07
Coupon Mom / Armor Games	11M	2017-11-09	2014-02
CafeMom	2.6M	2017-11-09	2014-04
RankWatch	7.4M	2017-11-03	2016-11
JobStreet	3.9M	2017-10-30	2012-03
Shotbow	1.1M	2017-10-29	2016-05
Master Deeds	2.3M	2017-10-18	2017-03
We Heart It	8.6M	2017-10-14	2013-11
diet.com	1.4M	2017-10-13	2014-08
Victory Phones	166k	2017-10-11	2017-01
AbuseWith.Us	1.4M	2017-10-09	2016-07
Disqus	17.6M	2017-10-06	2012-07
Kickstarter	5.2M	2017-10-06	2014-02
Bitly	9.3M	2017-10-06	2014-05
ReverbNation	7M	2017-10-05	2014-01
Staminus	26.8k	2017-10-05	2016-03
AKP Emails	917.5k	2017-10-01	2016-07
7k7k	9.1M	2017-09-26	2011-01
Zomato	16.5M	2017-09-04	2017-05
MALL.cz	735.4k	2017-09-04	2017-07
Onliner Spambot	711.5M	2017-08-29	2017-08
Biohack.me	3.4k	2017-08-23	2016-12
Bin Weevils	1.3M	2017-08-18	2014-09
Dailymotion	85.2M	2017-08-07	2016-10
MCBans	119.9k	2017-07-23	2016-10
B2B USA Businesses	105.1M	2017-07-18	2017-07
Evermotion	435.5k	2017-07-02	2015-05
Programming Forums	707.4k	2017-07-01	2015-12
Powerbot	503.5k	2017-07-01	2014-09
XPG	890.3k	2017-07-01	2016-01
Coachella	599.8k	2017-06-27	2017-02
Exposed VINs	396.7k	2017-06-09	2017-06
Data Enrichment Records	8.2M	2017-06-08	2016-12
Abandonia (2015)	776.1k	2017-06-05	2015-11
Edmodo	43.4M	2017-06-01	2017-05
DaFont	637.3k	2017-05-18	2017-05
Bell (2017 breach)	2.2M	2017-05-16	2017-05
Exploit.In	593.4M	2017-05-06	2016-10
Anti Public Combo List	458M	2017-05-04	2016-12
Retina-X	71.2k	2017-04-30	2017-02
R2 (2017 forum breach)	1M	2017-04-25	2017-01
FashionFantasyGame	2.4M	2017-04-20	2016-12
Youku	91.9M	2017-04-15	2016-12
Health Now Networks	321.9k	2017-04-07	2017-03
Bitcoin Talk	501.4k	2017-03-27	2015-05
Evony	29.4M	2017-03-25	2016-06
HLTV	611.1k	2017-03-22	2016-06
SweClockers.com	254.9k	2017-03-22	2015-04
Torrent Invites	352.1k	2017-03-22	2013-12
CrimeAgency vBulletin Hacks	942k	2017-03-21	2017-01
Soundwave	130.7k	2017-03-17	2015-07
Wishbone (2016)	2.2M	2017-03-15	2016-08
NetProspex	33.7M	2017-03-15	2016-09
Ster-Kinekor	1.6M	2017-03-13	2017-03
BTC-E	568.3k	2017-03-12	2014-10
River City Media Spam List	393.4M	2017-03-08	2017-01
Little Monsters	995.7k	2017-03-07	2017-01
CloudPets	583.5k	2017-02-27	2017-01
Funimation	2.5M	2017-02-20	2016-07
Elance	1.3M	2017-02-18	2009-01
Zoosk (2011)	52.6M	2017-02-08	2011-01
Justdate.com	24.5M	2017-02-07	2016-09
HongFire	1M	2017-02-05	2015-03
Freedom Hosting II	380.8k	2017-02-05	2017-01
CD Projekt RED	1.9M	2017-01-31	2016-03
PSP ISO	1.3M	2017-01-29	2015-09
Xbox 360 ISO	1.3M	2017-01-29	2015-09
Non Nude Girls	75.4k	2017-01-25	2013-05
The Candid Board	178.2k	2017-01-22	2015-09
MrExcel	366.1k	2017-01-22	2016-12
Eroticy	1.4M	2017-01-10	2015-06
QIP	26.2M	2017-01-08	2011-06
Pokémon Negro	830.2k	2017-01-03	2016-10
DaniWeb	1.1M	2016-12-28	2015-12
Пара Па	4.9M	2016-12-28	2016-08
Cross Fire	12.9M	2016-12-28	2016-08
uuu9	7.5M	2016-12-27	2016-09
Bot of Legends	238.4k	2016-12-27	2014-11
OVH	452.9k	2016-12-27	2015-05
Kimsufi	504.6k	2016-12-27	2015-05
Ethereum	16.4k	2016-12-20	2016-12
QuinStreet	4.9M	2016-12-17	2015-12
PayAsUGym	400.3k	2016-12-17	2016-12
SC Daily Phone Spam List	32.9M	2016-11-24	2015-04
Special K Data Feed Spam List	30.7M	2016-11-24	2015-10
GeekedIn	1.1M	2016-11-17	2016-08
Army Force Online	1.5M	2016-11-10	2016-05
Dodonew.com	8.7M	2016-11-10	2011-12
Lookbook	1.1M	2016-11-08	2012-08
CheapAssGamer.com	444.8k	2016-11-08	2015-07
Aipai.com	6.5M	2016-11-07	2016-09
Civil Online	7.8M	2016-11-07	2011-07
Duowan.com	2.6M	2016-11-07	2011-01
War Inc.	1M	2016-11-07	2012-07
Epic Games	251.7k	2016-11-07	2016-08
Unreal Engine	530.1k	2016-11-07	2016-08
Heroes of Gaia	180k	2016-11-07	2013-01
uTorrent	395k	2016-11-05	2016-01
Rambler	91.4M	2016-11-01	2014-03
Modern Business Solutions	58.8M	2016-10-12	2016-10
GFAN	22.5M	2016-10-10	2016-10
NetEase	234.8M	2016-10-09	2015-10
Taobao	21.1M	2016-10-08	2012-01
126	6.4M	2016-10-08	2012-01
Aternos	1.4M	2016-10-01	2015-12
Leet	5.1M	2016-09-30	2016-09
i-Dressup	2.2M	2016-09-26	2016-07
gPotato	2.1M	2016-09-24	2007-07
GameTuts	2.1M	2016-09-23	2015-03
Last.fm	37.2M	2016-09-20	2012-03
MoDaCo	879.7k	2016-09-20	2016-01
eThekwini Municipality	81.8k	2016-09-15	2016-09
Regpack	105k	2016-09-13	2016-05
ClixSense	2.4M	2016-09-11	2016-09
Pokébip	657k	2016-09-09	2015-07
DLH.net	3.3M	2016-09-07	2016-07
Experian (2015)	7.2M	2016-09-06	2015-09
Flash Flash Revolution (2016 breach)	1.8M	2016-09-06	2016-02
Onverse	800.2k	2016-09-06	2016-01
WIIU ISO	458.2k	2016-09-06	2015-09
ServerPact	73.6k	2016-09-06	2016-01
Brazzers	790.7k	2016-09-05	2013-04
Dropbox	68.6M	2016-08-31	2012-07
InterPals	3.4M	2016-08-30	2015-11
Nihonomaru	1.7M	2016-08-30	2015-12
Minecraft World Map	71.1k	2016-08-29	2016-01
GTAGaming	197.2k	2016-08-23	2016-08
Teracod	97.2k	2016-08-22	2016-05
xat	6M	2016-08-05	2015-11
Warframe	819.5k	2016-07-21	2014-11
Trillian	3.8M	2016-07-15	2015-12
17	4M	2016-07-08	2016-04
Neopets	26.9M	2016-07-07	2013-05
Badoo	112M	2016-07-06	2013-06
iMesh	49.5M	2016-07-02	2013-09
Tianya	29M	2016-06-30	2011-12
Muslim Match	149.8k	2016-06-29	2016-06
WHMCS	134k	2016-06-28	2012-05
Uiggy	2.7M	2016-06-27	2016-06
VK	93.3M	2016-06-09	2012-01
BitTorrent	34.2k	2016-06-08	2016-01
MySpace	359.4M	2016-05-31	2008-07
tumblr	65.5M	2016-05-29	2013-02
Fling	40.8M	2016-05-28	2011-03
Fur Affinity	1.3M	2016-05-27	2016-05
LinkedIn	164.6M	2016-05-21	2012-05
Rosebutt Board	107.3k	2016-05-10	2016-05
Nulled.cr	599.1k	2016-05-09	2016-05
Qatar National Bank	88.7k	2016-05-01	2015-07
Lifeboat	7.1M	2016-04-25	2016-01
Beautiful People	1.1M	2016-04-25	2015-11
TruckersMP	84k	2016-04-24	2016-02
Naughty America	1.4M	2016-04-24	2016-03
Mate1.com	27.4M	2016-04-14	2016-02
COMELEC (Philippines Voters)	228.6k	2016-04-14	2016-03
The Fappening	179k	2016-04-13	2015-12
Avast	423k	2016-03-12	2014-05
Lord of the Rings Online	1.1M	2016-03-12	2013-08
Dungeons & Dragons Online	1.6M	2016-03-12	2013-04
Team SoloMid	442.2k	2016-03-09	2014-12
Malwarebytes	111.6k	2016-03-09	2014-11
Minefield	188.3k	2016-03-09	2015-06
Seedpeer	281.9k	2016-03-09	2015-07
Sumo Torrent	285.2k	2016-03-09	2014-06
WildStar	738.6k	2016-03-06	2015-07
Acne.org	432.9k	2016-03-06	2014-11
KM.RU	1.5M	2016-03-03	2016-02
MajorGeeks	269.5k	2016-03-03	2015-11
Nival	1.5M	2016-03-03	2016-02
iPmart	2.5M	2016-02-23	2015-07
SkTorrent	117.1k	2016-02-23	2016-02
Linux Mint	145k	2016-02-22	2016-02
R2Games	22.3M	2016-02-09	2015-11
Comcast	616.9k	2016-02-08	2015-11
Plex	327.3k	2016-02-08	2015-07
Xbox-Scene	432.6k	2016-02-07	2015-02
PS3Hax	447.4k	2016-02-07	2015-07
PSX-Scene	341.1k	2016-02-07	2015-02
OwnedCore	880.3k	2016-02-06	2013-08
Gamerzplanet	1.2M	2016-02-05	2015-10
Heroes of Newerth	8.1M	2016-01-24	2012-12
vBulletin	519k	2016-01-24	2015-11
Gamigo	8.2M	2016-01-18	2012-03
Nexus Mods	5.9M	2016-01-17	2013-07
Android Forums	745.4k	2015-12-20	2011-10
Neteller	3.6M	2015-11-30	2010-05
Money Bookers	4.5M	2015-11-30	2009-01
VTech	4.8M	2015-11-25	2015-11
Foxy Bingo	252.2k	2015-11-22	2008-04
Black Hat World	777.4k	2015-11-03	2014-06
Mac-Torrents	94k	2015-10-31	2015-10
Final Fantasy Shrine	620.7k	2015-10-31	2015-09
PHP Freaks	173.9k	2015-10-30	2015-10
000webhost	14.9M	2015-10-26	2015-03
MPGH	3.1M	2015-10-26	2015-10
Paddy Power	591k	2015-10-11	2010-10
MyVidster (2015)	19.9k	2015-10-10	2015-08
Patreon	2.3M	2015-10-02	2015-10
Ashley Madison	30.8M	2015-08-18	2015-07
XSplit	3M	2015-08-08	2013-11
YouPorn	1.3M	2015-07-30	2012-02
Hacking Team	32.3k	2015-07-12	2015-07
Hemmakväll	47.3k	2015-07-09	2015-07
myRepoSpace	252.8k	2015-07-08	2015-07
Minecraft Pocket Edition Forum	16k	2015-06-30	2015-05
NextGenUpdate	1.2M	2015-06-05	2014-04
mSpy	699.8k	2015-05-28	2015-05
Adult FriendFinder (2015)	3.9M	2015-05-22	2015-05
Спрашивай.ру	3.5M	2015-05-12	2015-05
Telecom Regulatory Authority of India	107.8k	2015-04-27	2015-04
StarNet	139.4k	2015-04-11	2015-02
Quantum Booter	48.6k	2015-04-04	2014-03
ThisHabbo Forum	612.4k	2015-03-28	2014-01
Flashback	40.3k	2015-02-12	2015-02
Crack Community	19.2k	2015-02-03	2013-09
Lizard Squad	13.5k	2015-01-18	2015-01
Domino's	648.2k	2015-01-04	2014-06
AhaShare.com	180.5k	2014-11-06	2013-05
Yandex Dump	1.2M	2014-09-12	2014-09
mail.ru Dump	16.6M	2014-09-12	2014-09
Bitcoin Security Forum Gmail Dump	4.8M	2014-09-10	2014-01
Pokémon Creed	116.5k	2014-08-10	2014-08
Insanelyi	104.1k	2014-07-22	2014-07
Lounge Board	45k	2014-07-06	2013-08
Verified	16.9k	2014-07-06	2014-01
Astropid	5.8k	2014-07-06	2013-12
Manga Traders	855.2k	2014-06-10	2014-06
Win7Vista Forum	202.7k	2014-06-01	2013-09
Cannabis.com	227.7k	2014-06-01	2014-02
hackforums.net	191.5k	2014-05-11	2011-06
Business Acumen Magazine	26.6k	2014-05-11	2014-04
Fridae	35.4k	2014-05-06	2014-05
BigMoneyJobs	36.8k	2014-04-08	2014-04
Boxee	158.1k	2014-03-30	2014-03
hemmelig.com	28.6k	2014-03-25	2011-12
UN Internet Governance Forum	3.2k	2014-02-23	2014-02
Muslim Directory	37.8k	2014-02-23	2014-02
Spirol	55.6k	2014-02-22	2014-02
Forbes	1.1M	2014-02-15	2014-02
Tesco	2.2k	2014-02-13	2014-02
Bell (2014 breach)	20.9k	2014-02-01	2014-02
WPT Amateur Poker League	148.4k	2014-02-01	2014-01
Battlefield Heroes	530.3k	2014-01-23	2011-06
Snapchat	4.6M	2014-01-02	2014-01
Pixel Federation	38.1k	2013-12-06	2013-12
Adobe	152.4M	2013-12-04	2013-10
Gawker	1.2M	2013-12-04	2010-12
Sony	37.1k	2013-12-04	2011-06
Stratfor	859.8k	2013-12-04	2011-12
Yahoo	453.4k	2013-12-04	2012-07
Vodafone	56k	2013-11-30	2013-11
AFD (Agence Française de Développement)	1.9M	2024-01-15	2023-11
AP-HP (Assistance Publique - Hôpitaux de Paris)	1.5M	2022-04-12	2022-03
Betclic	500k	2022-05-10	2022-04
Camaïeu	1.5M	2022-06-15	2022-05
Chaussures André	1.2M	2022-05-12	2022-04
Delsey	1.5M	2022-04-18	2022-03
EDF	2.5M	2022-04-10	2022-03
EssilorLuxottica	2.5M	2021-04-15	2021-03
Fnac Darty	2.5M	2020-04-15	2020-03
Galeries Lafayette	1.5M	2022-04-20	2022-03
LCL	1.5M	2020-04-18	2020-03
Lemon Way	1.2M	2022-04-14	2022-03
Mairie de Paris	1.5M	2023-08-12	2023-07
Manutan	1.5M	2022-04-16	2022-03
Pierre & Vacances	1.5M	2022-04-22	2022-03
SFR	2.4M	2020-04-12	2020-03
Société Générale	1.5M	2023-04-18	2023-03
TotalEnergies	1.5M	2023-04-20	2023-03
Viadeo	1.5M	2017-01-15	2014-11
Yves Rocher	2.5M	2020-04-14	2020-03
France Travail (Pôle Emploi)	10M	2024-03-15	2024-02
CMA CGM	1.5M	2020-10-20	2020-09
Ecole Directe (Aplim)	2.5M	2021-12-15	2021-11
Orange France (2014)	800k	2014-04-18	2014-04
Carrefour	2.5M	2023-02-10	2023-01
Auchan	2.5M	2023-01-20	2022-12
Décathlon	1.5M	2022-11-18	2022-10
Leroy Merlin	2.5M	2022-10-15	2022-09
Castorama	1.5M	2022-10-18	2022-09
Intermarché	2.5M	2023-03-10	2023-02
Cdiscount	2.5M	2022-12-14	2022-11
Groupe Casino	1.5M	2022-12-15	2022-11
Système U	1.5M	2022-11-20	2022-10
Saint-Gobain	1.5M	2021-03-15	2021-02
Michelin	1.5M	2022-04-20	2022-03
Renault	1.5M	2022-05-18	2022-04
Vinci	1.5M	2022-06-15	2022-05
Veolia	1.5M	2022-07-20	2022-06
Engie	1.5M	2022-08-15	2022-07
BNP Paribas (Customer Data)	1.5M	2022-08-20	2022-07
Crédit Agricole	1.5M	2022-09-15	2022-08
Caisse d'Epargne	1.5M	2023-03-20	2023-02
AXA France	1.5M	2022-07-18	2022-06
Malakoff Humanis	1.5M	2022-06-20	2022-05
MGEN	1.5M	2022-05-18	2022-04
Harmonie Mutuelle	1.5M	2022-06-22	2022-05
SNCF Connect	1.5M	2023-04-15	2023-03
RATP	1.5M	2023-05-20	2023-04
Ameli (Assurance Maladie)	1.5M	2022-08-18	2022-07
La Poste (Courrier)	1.5M	2023-02-20	2023-01
Doctolib	1.5M	2021-06-15	2021-05
Edusign	1.5M	2023-01-20	2022-12
Klassroom	1.5M	2022-09-18	2022-08
OpenClassrooms	1.5M	2022-07-15	2022-06
Santé Publique France	1.5M	2022-10-20	2022-09
Assemblée Nationale	1.5M	2023-06-20	2023-05
Sénat	1.5M	2023-07-15	2023-06
BlaBlaCar (Scrape)	1.5M	2022-08-20	2022-07
CNR (Compagnie Nationale du Rhône)	1.5M	2023-02-18	2023-01
Fnac (Marketplace)	1.5M	2021-12-20	2021-11
Maville	1.5M	2023-08-15	2023-07
RueDuCommerce	1.5M	2022-11-15	2022-10
Showroomprive	2.5M	2023-09-15	2023-08
Vente-Privée (Veepee)	2.5M	2022-09-20	2022-08
La French Touch	500k	2023-10-15	2023-09
CNIL	100k	2020-06-15	2020-05
Darty	1.2M	2021-12-10	2021-11
Lancôme	800k	2022-09-15	2022-08
SMCP (Sandro / Maje / Claudie Pierlot)	1.5M	2023-06-12	2023-05
La Redoute	2.5M	2022-08-20	2022-07
Vestiaire Collective	1.2M	2023-08-14	2023-07
Feu Vert	1.1M	2023-04-18	2023-03
Norauto	950k	2023-05-10	2023-04
Nature et Découvertes	1.5M	2023-03-22	2023-02
IKKS	1.5M	2023-07-15	2023-06
Vertbaudet	1.5M	2022-12-05	2022-11
Les 3 Suisses	2.5M	2023-01-15	2022-12
Descamps	1.5M	2022-07-20	2022-06
Enedis	300k	2017-09-12	2017-06
Numericable	400k	2015-06-15	2015-05
Saur	100k	2022-10-18	2022-09
Bercy (Ministère de l'Économie)	200k	2023-08-10	2023-07
Capgemini	150k	2022-12-15	2022-11
